Date,Open,High,Low,Close,Volume,Adj Close
2013-03-08,2.46,2.54,2.44,2.50,107600,2.50
2013-03-07,2.41,2.45,2.41,2.44,72400,2.44
2013-03-06,2.40,2.45,2.40,2.42,109500,2.42
2013-03-05,2.42,2.46,2.38,2.40,408900,2.40
2013-03-04,2.45,2.47,2.43,2.45,35300,2.45
2013-03-01,2.44,2.47,2.41,2.46,28900,2.46
2013-02-28,2.46,2.46,2.43,2.44,31400,2.44
2013-02-27,2.47,2.47,2.45,2.46,57300,2.46
2013-02-26,2.45,2.47,2.44,2.47,47700,2.47
2013-02-25,2.48,2.48,2.44,2.44,67200,2.44
2013-02-22,2.46,2.49,2.46,2.48,25900,2.48
2013-02-21,2.45,2.47,2.44,2.45,29000,2.45
2013-02-20,2.46,2.47,2.44,2.44,97600,2.44
2013-02-19,2.47,2.48,2.45,2.47,204500,2.47
2013-02-15,2.48,2.49,2.46,2.46,49600,2.46
2013-02-14,2.46,2.48,2.46,2.47,18200,2.47
2013-02-13,2.49,2.53,2.47,2.48,43800,2.48
2013-02-12,2.60,2.60,2.45,2.47,50000,2.47
2013-02-11,2.48,2.49,2.45,2.45,39000,2.45
2013-02-08,2.46,2.50,2.45,2.48,24300,2.48
2013-02-07,2.48,2.49,2.44,2.45,16200,2.45
2013-02-06,2.48,2.49,2.40,2.48,75600,2.48
2013-02-05,2.48,2.50,2.46,2.47,56100,2.47
2013-02-04,2.50,2.50,2.44,2.45,53000,2.45
2013-02-01,2.46,2.51,2.46,2.50,60400,2.50
2013-01-31,2.47,2.50,2.43,2.45,135700,2.45
2013-01-30,2.50,2.50,2.45,2.47,66800,2.47
2013-01-29,2.49,2.51,2.47,2.49,46600,2.49
2013-01-28,2.44,2.51,2.43,2.48,128800,2.48
2013-01-25,2.45,2.45,2.42,2.42,93500,2.42
2013-01-24,2.43,2.45,2.43,2.44,41800,2.44
2013-01-23,2.44,2.44,2.42,2.44,79500,2.44
2013-01-22,2.44,2.44,2.41,2.43,151400,2.43
2013-01-18,2.45,2.45,2.42,2.42,49400,2.42
2013-01-17,2.45,2.45,2.42,2.44,39800,2.44
2013-01-16,2.42,2.46,2.41,2.42,111500,2.42
2013-01-15,2.44,2.47,2.43,2.43,58800,2.43
2013-01-14,2.46,2.49,2.44,2.45,41900,2.45
2013-01-11,2.48,2.50,2.47,2.47,36600,2.47
2013-01-10,2.48,2.52,2.46,2.46,90300,2.46
2013-01-09,2.50,2.50,2.45,2.47,74300,2.47
2013-01-08,2.46,2.52,2.45,2.47,30600,2.47
2013-01-07,2.48,2.54,2.44,2.47,29700,2.47
2013-01-04,2.53,2.55,2.49,2.50,28500,2.50
2013-01-03,2.57,2.57,2.48,2.51,33000,2.51
2013-01-02,2.50,2.59,2.50,2.57,106300,2.57
2012-12-31,2.44,2.49,2.35,2.46,1079400,2.46
2012-12-28,2.43,2.47,2.43,2.43,109600,2.43
2012-12-27,2.45,2.46,2.43,2.44,84600,2.44
2012-12-26,2.47,2.51,2.46,2.46,30400,2.46
2012-12-24,2.48,2.48,2.43,2.47,16200,2.47
2012-12-21,2.49,2.53,2.43,2.48,394300,2.48
2012-12-20,2.48,2.53,2.46,2.48,129000,2.48
2012-12-19,2.52,2.52,2.46,2.49,104600,2.49
2012-12-18,2.53,2.56,2.50,2.54,96100,2.54
